Reaction ID,Transcript abundance,Subsystem,Stoichiometry,Lower bound,Upper bound,RegrEx (no hexose uptake),FVA_min (no hexose uptake),FVA_max (no hexose uptake),Parsimonious (no hexose uptake),RegrEx (hexose uptake),Parsimonious (hexose uptake)
NADH_DEHYDROG_A_RXN_mi_MC_d,,"aerobicrespiration--electrondonorIII, aerobicrespiration--electrondonorII, NADHtocytochromeless_thanigreater_thanboless_than/igreater_thanoxidaseelectrontransfer, NADHtocytochromeless_thanigreater_thanbdless_than/igreater_thanoxidaseelectrontransfer, NAD/NADHphosphorylationanddephosphorylation",NADH_m_MC_d + 5.0 PROTON_m_MC_d + UBIQUINONE_mi_MC_d --> NAD_m_MC_d + 4.0 PROTON_i_MC_d + UBIQUINOL_mi_MC_d,0,1000,1.601723543,1.601723544,1.601723542,1.851069349,1.580231306,1.825389494
O2_ec_MC_d,,,OXYGEN_MOLECULE_e_d <=> OXYGEN_MOLECULE_c_MC_d,-41.4,41.4,1.578602122,1.578602123,1.578602122,1.568191946,1.566227219,1.558680814
H2O_mc_pSE_l,,,WATER_m_pSE_l <=> WATER_c_pSE_l,-60,60,1.537375848,-60,60,1.680920237,1.554277404,1.688390961
GPH_RXN_p_MC_l,0.683568883,photorespiration,CPD_67_p_MC_l + WATER_p_MC_l --> GLYCOLLATE_p_MC_l + Pi_p_MC_l,0,1000,1.49815748,1.49815748,1.49815748,1.49815748,1.49815748,1.49815748
RXN_961_p_MC_l,0.373725306,photorespiration,D_RIBULOSE_15_P2_p_MC_l + OXYGEN_MOLECULE_p_MC_l --> CPD_67_p_MC_l + G3P_p_MC_l + 2.0 PROTON_p_MC_l + 3.0 rubisco_bal_p_MC_l,0,1000,1.49815748,1.49815748,1.49815748,1.49815748,1.49815748,1.49815748
RXN_969_x_MC_l,,photorespiration,GLYCOLLATE_x_MC_l + OXYGEN_MOLECULE_x_MC_l --> GLYOX_x_MC_l + HYDROGEN_PEROXIDE_x_MC_l,0,1000,1.49815748,1.49815748,1.49815748,1.49815748,1.49815748,1.49815748
H2O_mc_pSE_d,,,WATER_m_pSE_d <=> WATER_c_pSE_d,-60,60,1.492882952,-60,60,1.605754817,1.577301263,1.513366456
GLY_xc_MC_l,,,GLY_x_MC_l <=> GLY_c_MC_l,-1000,1000,1.459390129,1.459390129,1.459390129,2.175340684,1.459968435,2.145659219
H2O_xc_MC_l,,,WATER_x_MC_l <=> WATER_c_MC_l,-1000,1000,1.450775162,1.450775162,1.450775162,1.49815748,1.45148198,1.49815748
MALATE_DEHYDROGENASE_NADP_RXN_p_MC_l,,,NADPH_p_MC_l + OXALACETIC_ACID_p_MC_l + PROTON_p_MC_l --> MAL_p_MC_l + NADP_p_MC_l,0,1000,1.39701067,1.296556672,1.437032753,2.138520807,1.400648338,2.145873674
PROTON_PPi_rev_vc_MC_l,,,0.65 PPI_c_MC_l + 0.25 PROTON_c_MC_l + WATER_c_MC_l + 0.35 aPPI_c_MC_l --> PROTON_v_MC_l + 1.4 Pi_c_MC_l + 0.6 aPi_c_MC_l,0,1000,1.332803345,1.332803345,1.332803318,0.352273956,1.31102621,0.352460321
H2O_mc_SE_d,,,WATER_m_SE_d <=> WATER_c_SE_d,-50,50,1.227853513,-50,50,1.196627156,1.196365166,1.191207513
ATP_ADP_mc_pSE_l,,,0.5 ADP_c_pSE_l + 0.9 ATP_m_pSE_l + 0.1 PROTON_m_pSE_l + 0.5 aADP_c_pSE_l + 0.1 aATP_m_pSE_l <=> 0.8 ADP_m_pSE_l + 0.65 ATP_c_pSE_l + 0.15 PROTON_c_pSE_l + 0.2 aADP_m_pSE_l + 0.35 aATP_c_pSE_l,-60,60,1.216668554,1.200737077,1.26552907,1.191376685,1.22722992,1.192603115
CO2_mc_MC_d,,,CARBON_DIOXIDE_m_MC_d <=> CARBON_DIOXIDE_c_MC_d,-1000,1000,1.174488746,1.174488746,1.174488747,1.167298017,1.164613813,1.156852217
ATP_ADP_mc_pSE_d,,,0.5 ADP_c_pSE_d + 0.9 ATP_m_pSE_d + 0.1 PROTON_m_pSE_d + 0.5 aADP_c_pSE_d + 0.1 aATP_m_pSE_d <=> 0.8 ADP_m_pSE_d + 0.65 ATP_c_pSE_d + 0.15 PROTON_c_pSE_d + 0.2 aADP_m_pSE_d + 0.35 aATP_c_pSE_d,-60,60,1.167442382,-60,60,1.193410971,1.167438324,1.18729746
CO2_mc_MC_l,,,CARBON_DIOXIDE_m_MC_l <=> CARBON_DIOXIDE_c_MC_l,-1000,1000,1.154900352,1.007442571,1.243246257,1.506118782,1.147236639,1.491278571
GLUTAMATE_SYNTHASE_FERREDOXIN_RXN_p_MC_l,0.703244221,"glutamatebiosynthesisV, ammoniaassimilationcycleII",2_KETOGLUTARATE_p_MC_l + GLN_p_MC_l + 2.0 PROTON_p_MC_l + 2.0 Reduced_ferredoxins_p_MC_l --> 2.0 GLT_p_MC_l + 2.0 Oxidized_ferredoxins_p_MC_l,0,1000,1.15393955,1.15393955,1.15393955,1.13332414,1.154095756,1.118712452
GLUTAMINESYN_RXN_p_MC_l,0.562561247,"nitratereductionII(assimilatory), glutaminebiosynthesis, ammoniaassimilationcycleII, nitratereductionVI(assimilatory)",AMMONIUM_p_MC_l + 0.9 ATP_p_MC_l + GLT_p_MC_l + 0.1 aATP_p_MC_l --> 0.8 ADP_p_MC_l + GLN_p_MC_l + 0.9 PROTON_p_MC_l + Pi_p_MC_l + 0.2 aADP_p_MC_l,0,1000,1.15393955,1.15393955,1.15393955,0.993406182,1.154095756,0.961151481
H2O_mc_SE_l,,,WATER_m_SE_l <=> WATER_c_SE_l,-50,50,1.146728957,-50,50,1.260030364,1.169089269,1.16038163
ATPase_tx_pSE_d,,,0.65 ATP_c_pSE_d + Light_dark_maintainence_constraint_c_pSE_l + WATER_c_pSE_d + 0.35 aATP_c_pSE_d --> 0.5 ADP_c_pSE_d + ATPase_NADPHoxidase_constraint_c_pSE_d + 0.55 PROTON_c_pSE_d + 0.7 Pi_c_pSE_d + 0.5 aADP_c_pSE_d + 0.3 aPi_c_pSE_d,0,60,1.12953,1.12953,1.12953,1.12953,1.12953,1.12953
ATPase_tx_pSE_l,,,0.65 ATP_c_pSE_l + WATER_c_pSE_l + 0.35 aATP_c_pSE_l --> 0.5 ADP_c_pSE_l + ATPase_NADPHoxidase_constraint_c_pSE_l + Light_dark_maintainence_constraint_c_pSE_l + 0.55 PROTON_c_pSE_l + 0.7 Pi_c_pSE_l + 0.5 aADP_c_pSE_l + 0.3 aPi_c_pSE_l,1.12953,7.6361,1.12953,1.12953,1.12953,1.12953,1.12953,1.12953
NH3_mc_MC_l,,,AMMONIUM_m_MC_l <=> AMMONIUM_c_MC_l,-1000,1000,1.122965684,1.122965684,1.122965684,0.947856379,1.122966495,0.915373155
CYTOCHROME_C_OXIDASE_RXN_mi_MC_l,0.431877252,aerobicrespiration--electrondonorII,4.0 Cytochromes_C_Reduced_mi_MC_l + OXYGEN_MOLECULE_m_MC_l + 8.0 PROTON_m_MC_l --> 4.0 Cytochromes_C_Oxidized_mi_MC_l + 4.0 PROTON_i_MC_l + 2.0 WATER_m_MC_l,0,1000,1.045203283,1.045203283,1.045203282,1.212244925,1.041449357,1.205600809
RXN_15479_p_CC_l,0.017014398,photosynthesislightreactions,Oxidized_ferredoxins_p_CC_l + Photon_p_CC_l + Plastocyanin_Reduced_p_CC_l --> Oxidized_Plastocyanins_p_CC_l + Reduced_ferredoxins_p_CC_l,0,10,1,1,1,1,1,1
ADENYL_KIN_RXN_m_MC_l,0.489177022,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_m_MC_l + 0.9 ATP_m_MC_l + 0.3 PROTON_m_MC_l + 0.1 aATP_m_MC_l <=> 1.6 ADP_m_MC_l + 0.4 aADP_m_MC_l,-1000,1000,0.998807483,8.08E-12,1.038039525,0.9945,0.998743227,0.9945
ATP_AMP_mc_MC_l,,,AMP_c_MC_l + 0.9 ATP_m_MC_l + 0.35 PROTON_c_MC_l + 0.1 aATP_m_MC_l <=> AMP_m_MC_l + 0.65 ATP_c_MC_l + 0.1 PROTON_m_MC_l + 0.35 aATP_c_MC_l,-1000,1000,0.998807483,1.30E-11,1.038039542,0.9945,0.998743227,0.9945
ADENYL_KIN_RXN_m_MC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_m_MC_d + 0.9 ATP_m_MC_d + 0.3 PROTON_m_MC_d + 0.1 aATP_m_MC_d <=> 1.6 ADP_m_MC_d + 0.4 aADP_m_MC_d,-1000,1000,0.9945,-497.1812842,502.8187158,1.005707946,0.9945,1.013522044
ATP_AMP_mc_MC_d,,,AMP_c_MC_d + 0.9 ATP_m_MC_d + 0.35 PROTON_c_MC_d + 0.1 aATP_m_MC_d <=> AMP_m_MC_d + 0.65 ATP_c_MC_d + 0.1 PROTON_m_MC_d + 0.35 aATP_c_MC_d,-1000,1000,0.9945,-497.1812842,502.8187158,1.005707946,0.9945,1.013522044
ATP_ADP_mc_SE_l,,,0.5 ADP_c_SE_l + 0.9 ATP_m_SE_l + 0.1 PROTON_m_SE_l + 0.5 aADP_c_SE_l + 0.1 aATP_m_SE_l <=> 0.8 ADP_m_SE_l + 0.65 ATP_c_SE_l + 0.15 PROTON_c_SE_l + 0.2 aADP_m_SE_l + 0.35 aATP_c_SE_l,-50,50,0.981926033,0.636701319,1.058351206,0.79185639,0.984261594,0.793907519
GLT_MAL_pc_MC_l,,,GLT_p_MC_l + MAL_c_MC_l <=> GLT_c_MC_l + MAL_p_MC_l,-1000,1000,0.951519526,0.786694914,0.951519521,1.132967586,0.951385009,1.118354109
CYTOCHROME_C_OXIDASE_RXN_mi_MC_d,,aerobicrespiration--electrondonorII,4.0 Cytochromes_C_Reduced_mi_MC_d + OXYGEN_MOLECULE_m_MC_d + 8.0 PROTON_m_MC_d --> 4.0 Cytochromes_C_Oxidized_mi_MC_d + 4.0 PROTON_i_MC_d + 2.0 WATER_m_MC_d,0,1000,0.950574564,0.950574564,0.950574563,0.94067528,0.938197098,0.931164148
ATPase_tx_SE_d,,,0.65 ATP_c_SE_d + Light_dark_maintainence_constraint_c_SE_l + WATER_c_SE_d + 0.35 aATP_c_SE_d --> 0.5 ADP_c_SE_d + ATPase_NADPHoxidase_constraint_c_SE_d + 0.55 PROTON_c_SE_d + 0.7 Pi_c_SE_d + 0.5 aADP_c_SE_d + 0.3 aPi_c_SE_d,0,50,0.941275,0.941275,0.941275,0.941275,0.941275,0.941275
ATPase_tx_SE_l,,,0.65 ATP_c_SE_l + WATER_c_SE_l + 0.35 aATP_c_SE_l --> 0.5 ADP_c_SE_l + ATPase_NADPHoxidase_constraint_c_SE_l + Light_dark_maintainence_constraint_c_SE_l + 0.55 PROTON_c_SE_l + 0.7 Pi_c_SE_l + 0.5 aADP_c_SE_l + 0.3 aPi_c_SE_l,0.941275,7.6361,0.941275,0.941275,0.941275,0.941275,0.941275,0.941275
ATP_ADP_mc_SE_d,,,0.5 ADP_c_SE_d + 0.9 ATP_m_SE_d + 0.1 PROTON_m_SE_d + 0.5 aADP_c_SE_d + 0.1 aATP_m_SE_d <=> 0.8 ADP_m_SE_d + 0.65 ATP_c_SE_d + 0.15 PROTON_c_SE_d + 0.2 aADP_m_SE_d + 0.35 aATP_c_SE_d,-50,50,0.926972692,-50,50,0.943848338,0.920171427,0.931982561
RNA_turnover_MC_d,,maintenance,0.65 ATP_c_MC_d + WATER_c_MC_d + 0.35 aATP_c_MC_d --> AMP_c_MC_d + 0.65 PPI_c_MC_d + PROTON_c_MC_d + 0.35 aPPI_c_MC_d,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
RNA_turnover_MC_l,,maintenance,0.65 ATP_c_MC_l + WATER_c_MC_l + 0.35 aATP_c_MC_l --> AMP_c_MC_l + 0.65 PPI_c_MC_l + PROTON_c_MC_l + 0.35 aPPI_c_MC_l,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Mehler_Reaction_p_MC_l,,,OXYGEN_MOLECULE_p_MC_l + Reduced_ferredoxins_p_MC_l --> Oxidized_ferredoxins_p_MC_l + SUPER_OXIDE_p_MC_l,0,1000,0.84455192,0.84455192,0.844551921,0,0.84455192,0
MALATE_DEH_RXN_m_MC_d,,"aspartatedegradationII, gluconeogenesis, superpathwayofglyoxylatecycle, glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",MAL_m_MC_d + NAD_m_MC_d <=> NADH_m_MC_d + OXALACETIC_ACID_m_MC_d + PROTON_m_MC_d,-1000,1000,0.838426764,0.838426768,0.838426766,1.102115777,0.826773575,1.086881721
CATAL_RXN_x_MC_l,0.373725306,removalofsuperoxideradicals,2.0 HYDROGEN_PEROXIDE_x_MC_l --> OXYGEN_MOLECULE_x_MC_l + 2.0 WATER_x_MC_l,0,1000,0.764154932,0.764154932,0.764154932,0.74907874,0.763930035,0.74907874
GCVMULTI_RXN_m_MC_l,0.373725306,"formylTHFbiosynthesisI, formylTHFbiosynthesisII, folatetransformations, photorespiration",GLY_m_MC_l + NAD_m_MC_l + THF_m_MC_l --> AMMONIUM_m_MC_l + CARBON_DIOXIDE_m_MC_l + METHYLENE_THF_m_MC_l + NADH_m_MC_l,0,1000,0.749240378,0.749240378,0.749240378,1.087774337,0.749241189,1.072934126
METHYLENE_THF_mc_MC_l,,,METHYLENE_THF_m_MC_l <=> METHYLENE_THF_c_MC_l,-1000,1000,0.749240378,0.749240378,0.749240378,0.00020799,0.749241189,0.000209033
GLYCOLLATE_pc_MC_l,,,GLYCOLLATE_p_MC_l <=> GLYCOLLATE_c_MC_l,-1000,1000,0.749199968,0.749199968,0.749199968,0.410799122,0.749200576,0.42564142
GLY3KIN_RXN_p_MC_l,0.563463741,"glycolateandglyoxylatedegradationI, photorespiration",0.9 ATP_p_MC_l + GLYCERATE_p_MC_l + 0.1 aATP_p_MC_l --> 0.8 ADP_p_MC_l + G3P_p_MC_l + 0.9 PROTON_p_MC_l + 0.2 aADP_p_MC_l,0,1000,0.748957511,0.748957511,0.748957511,1.087358357,0.748956903,1.072516059
GLYCERATE_GLYCOLLATE_pc_MC_l,,,GLYCERATE_c_MC_l + GLYCOLLATE_p_MC_l <=> GLYCERATE_p_MC_l + GLYCOLLATE_c_MC_l,-1000,1000,0.748957511,0.748957511,0.748957511,1.087358357,0.748956903,1.072516059
Glycerate_xc_MC_l,,,GLYCERATE_x_MC_l <=> GLYCERATE_c_MC_l,-1000,1000,0.748957511,0.748957511,0.748957511,1.087358357,0.748956903,1.072516059
HYDROXYPYRUVATE_REDUCTASE_RXN_NAD_x_MC_l,,,NADH_x_MC_l + OH_PYR_x_MC_l + PROTON_x_MC_l --> GLYCERATE_x_MC_l + NAD_x_MC_l,0,1000,0.748957511,0.748957511,0.748957511,1.087358357,0.748956903,1.072516059
SERINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_MC_l,0.373725306,NA,GLYOX_x_MC_l + SER_x_MC_l --> GLY_x_MC_l + OH_PYR_x_MC_l,0,1000,0.748957511,0.748957511,0.748957511,1.087358357,0.748956903,1.072516059
MALATE_DEH_RXN_x_MC_l,0.373725306,"aspartatedegradationII, gluconeogenesis, superpathwayofglyoxylatecycle, glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",MAL_x_MC_l + NAD_x_MC_l <=> NADH_x_MC_l + OXALACETIC_ACID_x_MC_l + PROTON_x_MC_l,-1000,1000,0.714497644,0.714497645,0.714497644,1.087358357,0.715011085,1.072516059
OAA_xc_MC_l,,,OXALACETIC_ACID_x_MC_l <=> OXALACETIC_ACID_c_MC_l,-1000,1000,0.714497644,0.714497644,0.714497644,1.087358357,0.715011085,1.072516059
